name,url,category,description
9q34 deletion syndrome,https://en.wikipedia.org/wiki/9q34_deletion_syndrome,0–9,"9q34 deletion syndrome  is a rare genetic disorder. Terminal deletions of chromosome 9q34 have been associated with childhood hypotonia, a distinctive facial appearance and developmental disability. The facial features typically described include arched eyebrows, small head circumference, midface hypoplasia, prominent jaw and a pouting lower lip. Individuals with this disease may often have speech impediments, such as speech delays. Other characteristics of this disease include: epilepsy, congenital and urogenital defects, microcephaly, corpulence, and psychiatric disorders.[1] From analysis of chromosomal breakpoints, as well as gene sequencing in suggestive cases, Kleefstra and colleagues identified EHMT1 as the causative gene.[4]
This gene is responsible for producing the protein histone methyltransferase which functions to alter histones. Ultimately, histone methyltransferases are important in deactivating certain genes, needed for proper growth and development. Moreover, a frameshift, missense, or nonsense error in the coding sequence of EHMT1 can result in this condition in an individual.[3]
"
8p23.1 duplication syndrome,https://en.wikipedia.org/wiki/8p23.1_duplication_syndrome,0–9,"8p23.1 duplication syndrome is a rare genetic disorder caused by a duplication of a region from human chromosome 8.[1] This duplication syndrome has an estimated prevalence of 1 in 64,000 births[1] and is the reciprocal of the 8p23.1 deletion syndrome. The 8p23.1 duplication is associated with a variable phenotype including one or more of speech delay, developmental delay, mild dysmorphism, with prominent forehead and arched eyebrows, and congenital heart disease (CHD).[2][3]
"
Taste disorder,https://en.wikipedia.org/wiki/Taste_disorder,T,"Dysgeusia, also known as parageusia, is a distortion of the sense of taste. Dysgeusia is also often associated with ageusia, which is the complete lack of taste, and hypogeusia, which is a decrease in taste sensitivity.[1] An alteration in taste or smell may be a secondary process in various disease states, or it may be the primary symptom. The distortion in the sense of taste is the only symptom, and diagnosis is usually complicated since the sense of taste is tied together with other sensory systems. Common causes of dysgeusia include chemotherapy, asthma treatment with albuterol, and zinc deficiency. Liver disease, hypothyroidism, and rarely, certain types of seizures can also lead to dysgeusia. Different drugs can also be responsible for altering taste and resulting in dysgeusia. Due to the variety of causes of dysgeusia, there are many possible treatments that are effective in alleviating or terminating the symptoms. These include artificial saliva, pilocarpine, zinc supplementation, alterations in drug therapy, and alpha lipoic acid.
"
Renal calculi,https://en.wikipedia.org/wiki/Renal_calculi,R,"


"
Romano–Ward syndrome,https://en.wikipedia.org/wiki/Romano%E2%80%93Ward_syndrome,R,"Romano–Ward syndrome is the most common form of congenital long QT syndrome (LQTS), a genetic heart condition that affects the electrical properties of heart muscle cells. [5] Those affected are at risk of abnormal heart rhythms which can lead to fainting, seizures, or sudden death.[6][2][7] Romano–Ward syndrome can be distinguished clinically from other forms of inherited LQTS as it affects only the electrical properties of the heart, while other forms of LQTS can also affect other parts of the body.
"
Renal cancer,https://en.wikipedia.org/wiki/Renal_cell_carcinoma,R,"Renal cell carcinoma (RCC) is a kidney cancer that originates in the lining of the proximal convoluted tubule, a part of the very small tubes in the kidney that transport primary urine. RCC is the most common type of kidney cancer in adults, responsible for approximately 90–95% of cases.[1] It is more common in men (with a male-to-female ratio of up to 2:1).[2] It is most commonly diagnosed in the elderly (especially in people over 75 years of age).[3]
"
Stiff person syndrome,https://en.wikipedia.org/wiki/Stiff_person_syndrome,S,"Stiff-person syndrome (SPS), also known as stiff-man syndrome,[1] is a rare neurological disorder of unclear cause characterized by progressive muscular rigidity and stiffness. The stiffness primarily affects the truncal muscles and is characterised by spasms, resulting in postural deformities. Chronic pain, impaired mobility, and lumbar hyperlordosis are common symptoms.[2][3]
"
Lysosomal beta-mannosidase deficiency,https://en.wikipedia.org/wiki/Lysosomal_beta-mannosidase_deficiency,L,"Beta-mannosidosis, also called lysosomal beta-mannosidase deficiency,[5] is a disorder of oligosaccharide metabolism caused by decreased activity of the enzyme beta-mannosidase.  This enzyme is coded for by the gene MANBA, located at 4q22-25. Beta-mannosidosis is inherited in an autosomal recessive manner.[5]  Affected individuals appear normal at birth, and can have a variable clinical presentation.  Infantile onset forms show severe neurodegeneration, while some children have intellectual disability.  Hearing loss and angiokeratomas are common features of the disease.[3][2]
"
Lysosomal glycogen storage disease with normal acid maltase activity,https://en.wikipedia.org/wiki/Lysosomal_glycogen_storage_disease_with_normal_acid_maltase_activity,L,"Danon disease (or glycogen storage disease Type IIb) is a metabolic disorder.[1] Danon disease is an X-linked lysosomal and glycogen storage disorder associated with hypertrophic cardiomyopathy, skeletal muscle weakness, and intellectual disability.[2] It is inherited in an X-linked dominant pattern.[1]
"
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier),List of fictional diseases,"


"
